,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_explained_var,Exp2train_r2,Exp2train_rmse,Exp2ori_explained_var,Exp2ori_r2,Exp2ori_rmse,Exp2impute_explained_var,Exp2impute_r2,Exp2impute_rmse,Exp2RegressorModel,Exp2duration,Exp2inference_duration,Exp3train_explained_var,Exp3train_r2,Exp3train_rmse,Exp3ori_explained_var,Exp3ori_r2,Exp3ori_rmse,Exp3impute_explained_var,Exp3impute_r2,Exp3impute_rmse,Exp3ImputeModel,Exp3ImputeRMSEAcc,Exp3RegressorModel,Exp3duration,Exp3inference_duration
53,189,reg_simple_,MNAR_,0.1_,3/,0.27555045413491347,SimpleImputer,0.7359080029355018,0.7315581172731376,0.1371371436520944,0.8854782183193418,0.8839713914187454,0.0882723562246306,0.6861500363565782,0.6821486851849943,0.1461013346414084,MLPRegressor,7175.345025777817,0.018405914306640625,0.7737100816738117,0.7737023216341246,0.12591283741047696,0.8951875222891054,0.8946086173839842,0.08412880656087968,0.6939407932752177,0.6937945314291563,0.14339983393703812,SimpleImputer,0.2903111784100984,MLPRegressor,8220.710565328598,0.018738746643066406
54,189,reg_simple_,MNAR_,0.3_,3/,0.26714255024766176,SimpleImputer,0.4847527498021782,0.48452091030434474,0.19003582822425538,0.7563326566916138,0.7559388423300061,0.12802403489290493,0.4632863539249207,0.46303179777449766,0.18989628189865018,MLPRegressor,9491.683133363724,0.01158595085144043,0.4770826301607968,0.4770653452116079,0.19140517396260323,0.7953047754953626,0.7936613350455122,0.11771518385004412,0.46326826003904975,0.463173227072342,0.18987127234840226,SimpleImputer,0.28630799048045713,MLPRegressor,7382.631131649017,0.010293245315551758
55,189,reg_simple_,MNAR_,0.5_,3/,0.2599557400611666,SimpleImputer,0.32606297893818625,0.3209282419032453,0.2181161362972177,0.6525714784234536,0.6376454828299732,0.15599440321096367,0.2610554080549139,0.25214559221821675,0.22410456643407733,MLPRegressor,4869.847216129303,0.022597312927246094,0.2939254647153746,0.28834230606587996,0.223288078292639,0.6002698077581641,0.5864161474032866,0.16665715523183036,0.25535920249512734,0.24720462912473018,0.22484366047972268,SimpleImputer,0.2877831644307676,MLPRegressor,4956.211111068726,0.018244266510009766
56,189,reg_simple_,MCAR_,0.01_,3/,0.2871770551638282,SimpleImputer,0.9342430075375108,0.9342365926172652,0.06787691806649511,0.9227618090550359,0.922622386786899,0.07208581979024753,0.9033314171243494,0.9033015828457355,0.08058456385362738,MLPRegressor,7458.39469909668,0.01721334457397461,0.9298489326048349,0.9277841400262011,0.07112892665633037,0.9204253220118377,0.9186731543184488,0.07390250189124468,0.9013426522851967,0.8990981602956204,0.08231741415540578,SimpleImputer,0.27353561540066407,MLPRegressor,9331.387296676636,0.018536090850830078
57,189,reg_simple_,MCAR_,0.1_,3/,0.2787968533928318,SimpleImputer,0.8090529745176529,0.8082324702899607,0.11590909059474212,0.8939526621041849,0.8915276365956626,0.08534964684796492,0.7188868369114096,0.7176432693138928,0.1377023175223436,MLPRegressor,7342.785272598267,0.01967644691467285,0.777364721230137,0.7678733472030623,0.12752415838905784,0.889825577387111,0.8780681040891098,0.0904900525571322,0.7231361475797762,0.7133241633842662,0.13875151104572706,SimpleImputer,0.28833851790521176,MLPRegressor,7287.7723224163055,0.01959705352783203
58,189,reg_simple_,MCAR_,0.3_,3/,0.27315183735554804,SimpleImputer,0.4920548726058762,0.4917351873004606,0.18870133980642761,0.7808660061836759,0.7807551758504172,0.12134079942607107,0.4089784212841814,0.4087190995281411,0.1992687068432804,MLPRegressor,6734.624143600464,0.008400917053222656,0.4891775108950175,0.4867090538767036,0.18963206024868642,0.789437426614199,0.7893486551688167,0.1189390033914463,0.4104428842721357,0.4081875080021431,0.19935826305721824,SimpleImputer,0.2892921950188063,MLPRegressor,7568.272882461548,0.029354333877563477
59,189,reg_simple_,MCAR_,0.5_,3/,0.2732281707925329,SimpleImputer,0.27336807111518235,0.2733672600452246,0.22562511599401325,0.5839626990918492,0.5771865426671137,0.1685064688974047,0.24153465027228838,0.24139512802720198,0.2257095790940714,MLPRegressor,7288.98127245903,0.014493703842163086,0.32237931227977634,0.32225169504073636,0.21790348773297644,0.6903611513148542,0.686946197572952,0.1449945467523692,0.25752430368751955,0.25747026432853604,0.2233053367033974,SimpleImputer,0.2892231731286763,MLPRegressor,7543.295010566711,0.01771259307861328
60,189,reg_full_,MAR_,0.01_,3/,0.29619039811014813,IterativeImputer,0.962586681084388,0.9625164827197286,0.051244838606105285,0.9283847294174483,0.9283535674628794,0.06936485175154182,0.9151580655162087,0.9151437084267482,0.07548909192494488,MLPRegressor,7988.7313096523285,0.013993024826049805,0.9551429466567399,0.9550144149351225,0.056139255397110496,0.9269011854936445,0.9268924330270404,0.070068584239688,0.9124190434487089,0.9123981679460877,0.07670060181150865,KNNImputer,0.29291304862174566,MLPRegressor,12152.442505598068,0.06541252136230469
61,189,reg_full_,MAR_,0.1_,3/,0.2882954321271167,KNNImputer,0.8487401818692004,0.847629216920018,0.10331914682988608,0.904061423706801,0.9007783270512613,0.08162918299060101,0.8279586059242827,0.8245968095355456,0.10853277852389712,MLPRegressor,7969.7290234565735,0.013286828994750977,0.8775515431493794,0.8772220363475254,0.09274492931234297,0.9121400034346722,0.9121378036622015,0.07681449943420027,0.832794134623641,0.8327801043975497,0.10597078490930179,KNNImputer,0.2778090293626727,MLPRegressor,8619.486110448837,0.40898799896240234
62,189,reg_full_,MAR_,0.3_,3/,0.27081715795980826,IterativeImputer,0.6875793394911827,0.686166514350738,0.1482789840401097,0.8319346025743374,0.8318523735119835,0.10626433965712583,0.6134027834628146,0.6133058088000534,0.1611484012569319,MLPRegressor,9299.610534191132,0.032190799713134766,0.701039757619236,0.7009621270654729,0.14474149664195698,0.8737211077962397,0.8722807649328475,0.09261265433494821,0.6542888292299585,0.6539654684543155,0.15244103796240246,SimpleImputer,0.28830391533197186,MLPRegressor,8486.159977674484,0.008553266525268555
